名称,住所,営業日,電話番号
赤から 渋谷宮益坂店,"月～金 ディナー：16:00～23:30
土・日・祝 15:00～23:30",,050-3462-5669
やきとりセンター 渋谷センター街店, 17:00～24:00(L.O.23:00、ドリンクL.O.23:30),,050-3476-8278
渋谷ベルゴ,"月～金 17:00～24:00(L.O.23:00、ドリンクL.O.23:30)
土・日・祝 16:00～24:00(L.O.23:00、ドリンクL.O.23:30)",,050-3467-3740
博多 もつ楽 渋谷店,"月～土・祝前日 17:00～24:00(L.O.23:00、ドリンクL.O.23:30)
日・祝日 16:00～23:00(L.O.22:00、ドリンクL.O.22:30)",,050-3466-5300
ぶっちぎり酒場 渋谷スペイン坂店, 16:00～翌5:00,,050-3476-2555
biodinamico（ビオディナミコ）, ランチ：11:30～14:30(L.O.14:00)、ディナー：17:30～22:30(L.O.21:30),,050-3466-5448
真巴石‐シンバセイ‐ 薬膳火鍋 しゃぶしゃぶ 渋谷店,月～日・祝前日・祝日 12:00～23:30(L.O.23:00、ドリンクL.O.23:00)(※東京都の要請により、8月いっぱいは22時までの営業となります。),,050-3464-4368
しぶや畑 ～個室しゃぶしゃぶ～,"月～金 11:30～23:30(L.O.23:00)
土・日・祝 11:30～23:30(L.O.23:00)",,050-3463-9470
肉＆チーズダイニング ニッチーズ ‐Niccheese‐渋谷店,"月～金 ディナー：17:00～23:00
土・日・祝 ランチ：12:00～15:00、ディナー：17:00～23:30",,050-3469-3621
少人数貸切パーティ Cheers Tokyo,"月～木 18:30～24:00
金・土・祝前日 18:30～翌2:00",,050-3469-7603
牡蠣料理ともつ鍋が旨い個室居酒屋 うみきん‐UMIKIN‐ 渋谷店, ディナー：16:00～翌2:00(L.O.1:00、ドリンクL.O.1:30),,050-3469-6433
牛タンと完全個室 輝 渋谷駅前店," 11:00～24:00(コロナウイルス感染症対策の東京都ロードマップに則り、営業時間を上記の時間までとさせて頂きます。  何卒ご了承くださいませ。)
月～木 13:00～24:00
金・土・祝前日 13:00～翌4:00
日 13:00～23:30",,050-3476-8471
庄や 渋谷南口店,月～土 11:30～24:00(L.O.23:00、ドリンクL.O.23:30)(自粛要請に則り営業しております。),,050-3477-4356
個室居酒屋 八吉 渋谷南口店,"月～木 17:00～24:30(営業自粛の要請により営業時間を変更する場合がございます。ご了承下さい。  詳細は店舗までお問い合わせ下さい。)
金・祝前日 17:00～翌4:30(営業自粛の要請により営業時間を変更する場合がございます。ご了承下さい。  詳細は店舗までお問い合わせ下さい。)
土 17:00～23:30(営業自粛の要請により営業時間を変更する場合がございます。ご了承下さい。  詳細は店舗までお問い合わせ下さい。)
日・祝日 15:00～23:00",,03-5456-7888
炉端 五代目 よだれ屋 渋谷道玄坂, 17:00～24:00(L.O.23:30),,050-3476-2694
えん 渋谷店," ランチ：11:30～15:00(L.O.14:30)
月～土 ディナー：17:00～23:30
日・祝日 16:00～23:30",,050-3467-8009
庄や 渋谷センター街店 はなれ,"月～日 11:30～24:00(L.O.23:00、ドリンクL.O.23:30)(自粛要請にのっとり営業しています。)
月～日 ランチ：11:30～16:00",,050-3462-7936
ホルモン焼肉 縁 渋谷店,月～日・祝前日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30),,050-3468-4665
鍋とスパイス料理 オニカワラ 渋谷店, ランチ：11:30～15:00(L.O.14:30)(《テイクアウト》カレー：LO 14:30 ドリンク：（平日） LO 14:30 （土日祝） LO 17:00)、ディナー：17:00～21:00(L.O.20:00、ドリンクL.O.20:00)(土・日・祝日はお休みします。),,050-3464-5045
ADENIA, ランチ：11:30～15:30(L.O.14:30)、ディナー：18:00～23:30(L.O.21:30),,050-3313-9502
完全個室居酒屋 魚龍 渋谷店," ランチ：12:00～16:00
金・土・祝前日 ディナー：16:00～翌5:00
月～木・日・祝日 ディナー：16:00～24:00",,050-3373-2538
